season,date,regular,playoffs,away,home,score_away,score_home,whos_favored,spread,total,moneyline_away,moneyline_home,underdog_wins,underdog_covers_no_win,fave_covers,ATS_outcome,Season_Type,home_favored,decisive_outcome
2020,2020-08-15,False,False,mem,por,122,126,home,6.0,229.5,220.0,-260.0,False,True,False,Underdog Covers But Loses,PlayIn,,False
2021,2021-05-18,False,False,cha,ind,117,144,home,1.5,226.0,110.0,-130.0,False,False,True,Favorite Covers,PlayIn,,True
2021,2021-05-18,False,False,wsh,bos,100,118,home,2.0,233.0,110.0,-130.0,False,False,True,Favorite Covers,PlayIn,,True
2021,2021-05-19,False,False,sa,mem,96,100,home,4.5,224.0,170.0,-190.0,False,True,False,Underdog Covers But Loses,PlayIn,,False
2021,2021-05-19,False,False,gs,lal,100,103,home,5.5,217.0,205.0,-245.0,False,True,False,Underdog Covers But Loses,PlayIn,,False
2021,2021-05-20,False,False,ind,wsh,115,142,home,3.5,240.5,140.0,-160.0,False,False,True,Favorite Covers,PlayIn,,True
2021,2021-05-21,False,False,mem,gs,117,112,home,4.5,220.5,185.0,-215.0,True,False,False,Underdog Wins,PlayIn,,True
2022,2022-04-12,False,False,cle,bkn,108,115,home,9.5,227.5,400.0,-500.0,False,True,False,Underdog Covers But Loses,PlayIn,,False
2022,2022-04-12,False,False,lac,min,104,109,home,3.5,231.0,135.0,-155.0,False,False,True,Favorite Covers,PlayIn,,True
2022,2022-04-13,False,False,cha,atl,103,132,home,5.5,235.0,185.0,-215.0,False,False,True,Favorite Covers,PlayIn,,True
2022,2022-04-13,False,False,sa,no,103,113,home,5.0,225.0,185.0,-215.0,False,False,True,Favorite Covers,PlayIn,,True
2022,2022-04-15,False,False,atl,cle,107,101,away,2.5,223.0,-135.0,115.0,False,False,True,Favorite Covers,PlayIn,,True
2022,2022-04-15,False,False,no,lac,105,101,away,1.5,216.5,220.0,-260.0,False,False,True,Favorite Covers,PlayIn,,True
2023,2023-04-11,False,False,min,lal,102,108,home,8.5,233.5,,,False,True,False,Underdog Covers But Loses,PlayIn,,False
2023,2023-04-11,False,False,atl,mia,116,105,home,5.5,227.5,,,True,False,False,Underdog Wins,PlayIn,,True
2023,2023-04-12,False,False,chi,tor,109,105,home,5.5,212.5,,,True,False,False,Underdog Wins,PlayIn,,True
2023,2023-04-12,False,False,okc,no,123,118,home,5.5,226.5,,,True,False,False,Underdog Wins,PlayIn,,True
2023,2023-04-14,False,False,chi,mia,91,102,home,5.5,209.5,,,False,False,True,Favorite Covers,PlayIn,,True
2023,2023-04-14,False,False,okc,min,95,120,home,6.5,228.5,,,False,False,True,Favorite Covers,PlayIn,,True
2024,2023-12-09,False,False,ind,lal,109,123,home,3.5,242.5,,,False,False,True,Favorite Covers,PlayIn,,True
2024,2024-04-16,False,False,gs,sac,94,118,away,3.5,222.5,,,True,False,False,Underdog Wins,PlayIn,,True
2024,2024-04-16,False,False,lal,no,110,106,home,1.5,224.5,,,True,False,False,Underdog Wins,PlayIn,,True
2024,2024-04-17,False,False,atl,chi,116,131,home,3.5,222.5,,,False,False,True,Favorite Covers,PlayIn,,True
2024,2024-04-17,False,False,mia,phi,104,105,home,5.5,207.5,,,False,True,False,Underdog Covers But Loses,PlayIn,,False
2024,2024-04-19,False,False,sac,no,98,105,home,1.5,212.5,,,False,False,True,Favorite Covers,PlayIn,,True
2024,2024-04-19,False,False,chi,mia,91,112,home,2.5,207.5,,,False,False,True,Favorite Covers,PlayIn,,True
2025,2024-12-17,False,False,mil,okc,97,81,home,5.5,214.5,,,True,False,False,Underdog Wins,PlayIn,,True
2025,2025-04-15,False,False,atl,orl,95,120,home,6.5,220.5,,,False,False,True,Favorite Covers,PlayIn,,True
2025,2025-04-15,False,False,mem,gs,116,121,home,6.5,225.5,,,False,True,False,Underdog Covers But Loses,PlayIn,,False
2025,2025-04-16,False,False,mia,chi,109,90,home,1.5,220.5,,,True,False,False,Underdog Wins,PlayIn,,True
2025,2025-04-16,False,False,dal,sac,120,106,home,5.5,214.5,,,True,False,False,Underdog Wins,PlayIn,,True
2025,2025-04-18,False,False,dal,mem,106,120,home,5.5,222.5,,,False,False,True,Favorite Covers,PlayIn,,True
2025,2025-04-18,False,False,mia,atl,123,114,away,2.5,221.5,,,False,False,True,Favorite Covers,PlayIn,,True
